Time,Time_Code,x1,x2,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Score
2016,YR2016,Dominican Republic,DOM,0.623556892,-0.290759878,0.149798517,-0.62203865,-0.169650247,0.212741732,0.144755063,1.376266451,-0.461530502,-1.16841282,-0.320053183,0.213609565,2.225276516
2016,YR2016,Ecuador,ECU,-0.43383452,-0.136521709,-0.045985797,-0.400633514,0.410705623,-0.182701528,-0.667138227,-1.962775871,-1.431041111,-0.81100331,0.329520657,0.29169349,-12.79648039
2016,YR2016,"Egypt, Arab Rep.",EGY,-0.084349448,-0.291505528,0.444349894,-0.681915029,0.576972323,2.293598767,-0.584496089,0.575662565,-0.600091906,-0.695923677,-0.893322512,-0.181634381,0.782627478
2016,YR2016,El Salvador,SLV,-0.091892237,-0.294368005,-0.086684208,-0.281193544,0.101340241,-0.261164917,-0.653726504,-0.111061905,0.430830987,-1.046495574,-0.796071286,-0.495655159,-7.94640321
2016,YR2016,Estonia,EST,0.367654629,-0.443002549,-1.265330849,0.587812748,0.225590361,-0.540238555,0.608019074,-0.032996696,-0.174436703,-0.003646675,-0.076486002,-0.403841933,-1.894142214
2016,YR2016,"Gambia, The",GMB,-0.927468774,-0.065203422,0.687735962,-0.196203315,-1.092501906,0.044023036,0.764877079,-1.459483021,-0.150545687,-0.961793501,-0.716005538,-1.213204103,-14.41115633
2016,YR2016,Georgia,GEO,-0.379453939,-0.206599532,-1.239227986,-0.060974668,-0.84484291,-0.559794441,-0.779037019,0.096817762,0.440360853,-0.245736947,0.477711976,0.235670488,-11.69522883
2016,YR2016,Germany,DEU,0.659981913,1.329195921,-0.260151693,-0.256197927,0.603667876,-1.165869109,0.224518114,-0.359314865,0.106118161,0.92649927,-1.107864319,0.359065469,7.110801005
2016,YR2016,Ghana,GHA,-0.253894242,-0.481779342,0.188809641,0.078247531,-0.016574331,2.948518434,1.099511879,-0.414856446,0.035901289,0.520758846,-0.500876044,0.910231306,7.350034
2016,YR2016,Greece,GRC,0.364555637,-0.142013748,-1.175981639,-0.483971509,-0.925111803,-0.668183787,-0.896841761,-0.834260334,0.093376056,-0.333291481,-0.31060696,-0.719731275,-13.58599948
2016,YR2016,Guatemala,GTM,-0.209025602,-0.212327135,0.463731145,-0.483686132,0.146217048,0.252652812,-0.148237271,0.002806239,-0.953500192,-1.250267378,-0.312903762,-0.218438041,-6.08904375
2016,YR2016,Honduras,HND,-0.421703428,-0.251988245,0.306361593,0.172677299,0.113999441,0.023537173,-0.458278532,0.13645992,-1.262429301,-1.137022847,-0.019366188,-0.469057685,-7.546532479
2016,YR2016,Hungary,HUN,-0.00987071,-0.383927508,-1.59077982,0.939039844,1.039877885,-0.632212284,0.187819395,-0.427986878,2.241036321,0.441766174,-0.235011831,-0.268940498,1.032121326
2016,YR2016,Iceland,ISL,2.46915906,-0.505637682,1.119920183,-0.852924138,-1.282133411,-0.381974867,0.167539032,2.416193778,0.341295061,1.045476427,1.266607803,0.487127961,22.66257045
